mode, transposition in semi-tones for each scale degree;
0 chromatic, 0 1 2 3 4 5 6 7 8 9 10 11;
1 ionian, 0 2 4 5 7 9 11;
2 dorian, 0 2 3 5 7 9 10;
3 phrygian, 0 1 3 5 7 8 10;
4 lydian, 0 2 4 6 7 9 11;
5 mixolydian, 0 2 4 5 7 9 10;
6 aeolian, 0 2 3 5 7 8 10;
7 locrian, 0 1 3 5 6 8 10;
8 wholetone, 0 2 4 6 8 10;
9 min7, 0 3 7 10;
10 dim7, 0 3 6 9;
11 octatonic2-1, 0 2 3 5 6 8 9 11;
12 octatonic1-2, 0 1 3 4 6 7 9 10;
13 major-pentatonic, 0 2 4 7 9;
14 minor-pentatonic, 0 3 5 7 10;
15 invert, 11 10 9 8 7 6 5 4 3 2 1 0;
